globalIdentifier,definition,example,identifier,title,parentId,statusId,id,parent,note,denotation
cc7105e0-dfd1-4e97-8c73-f7d295982c26,"väggkonstruktion med pelar-balkstomme av trä, prefebricerad","byggdelstyp 37, utfackningsvägg
",AD33,Väggkonstruktion med prefabricerad regelstomme av trä,311369,0,312649,311369.0,,
ddd5b000-2e89-42df-91b7-b3b771370793,"väggkonstruktion med pelar-balkstomme av stål, prefebricerad","byggdelstyp 36, utfackningsvägg",AD34,Väggkonstruktion med prefabricerad regelstomme av stål,311369,0,312650,311369.0,,
e7e91594-7e6d-457e-ae5c-c1ac3e7cbead,väggkonstruktion med kärna i form av sammanfogade skikt,halvsandwichvägg,AD40,Väggkonstruktion med sandwichstomme,575569,0,311370,575569.0,,
269be9ad-a21c-4b69-8ed8-847c47f7f16c,väggkonstruktion med kärna i form av sammanfogade block,"byggdelstyp 21
",AD50,Väggkonstruktion med murad stomme,575569,0,311371,575569.0,,
d4d7b830-f6d9-447a-9c2d-a63ef1d8bea5,väggkonstruktion med murad stomme av betong,"byggdelstyp 31
",AD51,Väggkonstruktion med murad stomme av betong,311371,0,312642,311371.0,,
2c042307-2e90-456f-825e-49b88eac6694,väggkonstruktion med murad stomme av autoklaverad lättbetong,"byggdelstyp 32, gasbetong
",AD52,Väggkonstruktion med murad stomme av autoklaverad lättbetong,311371,0,312643,311371.0,,
29c95306-fd40-433e-9c60-960ca286eaee,väggkonstruktion med murad stomme av lättklinkerbetong,"byggdelstyp 33
",AD53,Väggkonstruktion med murad stomme av lättklinkerbetong,311371,0,312644,311371.0,,
f0935d55-5dc8-4cc7-bb7e-2b1fe79e8322,väggkonstruktion med murad stomme av tegel,,AD54,Väggkonstruktion med murad stomme av tegel,311371,0,312645,311371.0,,
e5895ab6-6bb0-48a2-8be1-41713e98d5a0,väggkonstruktion med murad stomme av glasblock,,AD55,Väggkonstruktion med murad stomme av glasblock,311371,0,312646,311371.0,,
c43d65be-184b-4026-906d-bc0936fb0197,rörlig väggkonstruktion,,AD60,Rörlig väggkonstruktion,575569,0,311372,575569.0,,
21e167cb-eb96-4e4c-9ed4-e68ca832f860,väggkonstruktion av bearbetat berg,"Bergrumsväggskonstruktion
",AD70,Tunnelväggskonstruktion,575569,0,311373,575569.0,,
7de4ad00-3c28-4351-b39a-bc8decfd447d,tunnelväggskonstruktion av förstärkt berg,,AD71,Tunnelväggskonstruktion med förstärkning,311373,0,312640,311373.0,,
f55f3a64-2a01-4f35-be84-f6fb3c88293a,tunnelväggskonstruktion av separat betongskikt,,AD72,Tunnelväggskonstruktion med betonglining,311373,0,312641,311373.0,,
c5c0af33-91cd-40b8-9a71-d499d3c8a2c1,byggkonstruktion som avslutar en byggnad uppåt,Ytterbjälklagskonstruktion,AE,Yttertakskonstruktion,575566,0,575570,575566.0,Det konstruktiva systemet AE avser hela yttertakskonstruktionen med alla sina skikt. De bärande och stabiliserande byggdelarna kan redovisas i BE Yttertakskonstruktion.,
